GCC_bitrate,ARS_bitrate,Concerto_bitrate,bitrate
862.1979785,858.197796,735.3738478,1010.022814
865.9170082,859.23015,753.5563372,1012.373029
873.963652,889.0847372,759.9388234,1024.789154
897.1370289,896.7968863,761.2994098,1025.399684
902.7235089,901.3524927,765.1220304,1026.86138
919.9635523,915.1402331,771.9836927,1032.681123
924.7410937,930.4644257,772.49276,1033.052374
933.9639069,947.7078798,772.8521931,1037.72773
941.9104577,950.3235146,782.7946657,1039.803106
942.7022461,1014.344715,783.1535592,1039.820869
979.3956308,1028.162369,787.3138922,1044.290471
989.416095,1033.536545,789.4826497,1047.193118
1008.584758,1042.054029,790.555446,1050
1015.876609,1064.371883,794.4192392,1052.785811
1047.927093,1086.085213,795.3109305,1060.128359
1095.759079,1134.520565,815.8424922,1062.168955
1103.047123,1142.318387,819.6400585,1067.880615
1114.506851,1156.444635,836.163822,1072.119425
1128.066183,1166.892594,843.3674573,1073.236542
1141.271729,1220.083862,857.4690751,1074.747925
1147.991101,1226.157152,903.2562891,1075.177913
1168.918758,1230.229231,914.17045,1078.98695
1179.887322,1256.064674,917.2935568,1081.579191
1216.16776,1263.292579,919.7289169,1081.831216
1219.821775,1267.617824,933.7889188,1081.832522
1220.028308,1273.209535,950.2124437,1085.903193
1229.327717,1281.489407,964.4235067,1087.935807
1256.085746,1286.154933,965.1027964,1090.612063
1279.704691,1291.579548,983.7807458,1092.585654
1288.969956,1308.194039,984.5029486,1094.223713
1289.207339,1320.08274,988.8921295,1096.0811
1293.55635,1330.98567,1000.06731,1096.147604
1298.933553,1338.781603,1015.630448,1098.163297
1302.470333,1354.799338,1048.594286,1100.420575
1326.291124,1380.453305,1059.944528,1114.813225
1330.144861,1399.096316,1079.309754,1122.120907
1339.141653,1426.242314,1086.536371,1123.793659
1344.442806,1440.168862,1103.757562,1135.901251
1370.516444,1485.58876,1112.588822,1158.502743
1377.293261,1494.385953,1113.96515,1160
1391.330872,1521.549761,1120.717366,1175.222662
1401.194024,1528.520554,1126.115182,1194.094111
1424.677718,1545.166667,1135.38647,1194.528255
1432.967414,1581.220207,1135.971876,1195.239821
1488.642752,1592.052949,1139.361626,1240.649269
1517.493137,1646.924137,1140.294654,1286.439081
1572.110341,1672.004927,1174.072557,1305.503093
1579.931733,1682.543079,1175.057429,1337.933166
1593.405682,1717.677025,1182.61648,1350.520447
