GCC_rtt,ARS_rtt,Concerto_rtt,rtt
0.022102052,0.022733737,0.039685218,0.016333331
0.022459331,0.023012512,0.040378688,0.016518106
0.023154024,0.023175404,0.040402724,0.016837849
0.023282689,0.023383645,0.040452799,0.0169607
0.023317172,0.023617682,0.040790409,0.017430551
0.023352669,0.023641396,0.041758966,0.017475865
0.023558869,0.02373169,0.042302696,0.017521422
0.023813991,0.023820995,0.042697036,0.017700444
0.024045815,0.023842091,0.043194427,0.017731663
0.024108236,0.024058542,0.044010341,0.017771759
0.024234226,0.024347823,0.044238501,0.017810844
0.024361774,0.024354645,0.044765485,0.017902506
0.024544204,0.024357476,0.045094495,0.018003713
0.024582364,0.024430487,0.045636851,0.018077222
0.024618209,0.024612613,0.045840634,0.018160034
0.024773047,0.024837264,0.046133555,0.018312598
0.025159864,0.024867104,0.046339065,0.018645634
0.02519332,0.024945666,0.046710029,0.018683802
0.025583214,0.024995231,0.046835052,0.018773624
0.025651101,0.025125231,0.046927489,0.018797502
0.026314471,0.025713249,0.047227155,0.018861959
0.026794713,0.026602032,0.047285561,0.018872543
0.027001006,0.026952495,0.047438232,0.019027761
0.027033612,0.028562155,0.047841679,0.019420845
0.027315696,0.02895113,0.048780927,0.019564886
0.027495593,0.029102091,0.048867725,0.01968309
0.027657918,0.029459443,0.04895975,0.02007963
0.027916142,0.029690322,0.049025189,0.020268565
0.028165012,0.030485417,0.049220019,0.020934423
0.028411969,0.03257384,0.049329651,0.02096551
0.028584718,0.032788472,0.050070427,0.020972847
0.028981962,0.033232701,0.050291954,0.021064656
0.029504906,0.03391781,0.050421182,0.021845867
0.031162196,0.034383828,0.050706145,0.022058507
0.031934358,0.035647282,0.050928434,0.022417192
0.032716695,0.035767799,0.051137235,0.022470188
0.033092081,0.037554019,0.051623064,0.022610349
0.034104318,0.038612106,0.0521933,0.022975314
0.035066048,0.038737493,0.053464915,0.023091427
0.03541627,0.040445622,0.054909769,0.023388761
0.035455352,0.043360253,0.055381464,0.02344746
0.036410541,0.044692725,0.059916096,0.023837167
0.038515436,0.044716122,0.060489706,0.023987798
0.039043031,0.04506303,0.06252826,0.023999781
0.043867984,0.047971289,0.063412792,0.024172315
0.044183188,0.048690702,0.063860158,0.024194672
0.044243051,0.050112319,0.065360781,0.024897704
0.046819719,0.053149838,0.065877598,0.024911614
0.048166273,0.053535697,0.067337083,0.025062666
0.050763375,0.053743977,0.067918973,0.025271536
0.05308023,0.054220394,0.067929968,0.025464662
0.053647047,0.057624514,0.068857118,0.025585139
0.055914111,0.057816097,0.069077874,0.026522707
0.059412081,0.059636834,0.069693918,0.027112575
0.062717676,0.064013498,0.071416391,0.027396969
0.068619118,0.064936942,0.071872709,0.028672086
0.069524145,0.066856411,0.072115326,0.029027799
0.072695678,0.073060505,0.073306337,0.029118166
0.07306604,0.074190251,0.07512703,0.029394201
0.074461382,0.075225044,0.075342958,0.030196176
0.074611048,0.07627519,0.076342411,0.031560931
0.076331503,0.076839162,0.077330536,0.031861955
0.07713533,0.077081123,0.077359372,0.032727652
0.077262493,0.077484131,0.078798404,0.03406901
0.078432834,0.079068192,0.080851777,0.034311677
0.079517315,0.079771029,0.083846367,0.036078841
0.080648634,0.080057782,0.085916665,0.036582185
0.086277154,0.083295691,0.086159443,0.036584251
0.086697247,0.084679968,0.090871706,0.037556578
0.087110466,0.086421947,0.092453569,0.037654324
0.088216632,0.088357859,0.096632737,0.040824725
0.095436023,0.088899244,0.097024519,0.041060202
0.099193393,0.090866029,0.100565094,0.042893635
0.101219155,0.093750074,0.101074291,0.043954448
0.104065783,0.10113572,0.109461539,0.045275189
0.110851217,0.11409827,0.11240904,0.045277024
0.113202367,0.114536382,0.116445206,0.045387959
0.116060328,0.117643145,0.118686524,0.049847222
0.125538615,0.12363483,0.126718076,0.054539495
0.132642384,0.131767397,0.127393611,0.055210918
0.132776892,0.134075253,0.130193667,0.058087621
0.136844627,0.14527929,0.130708197,0.062099206
0.145209877,0.145810624,0.141849758,0.074815849
0.148025925,0.149691624,0.156717126,0.08112877
0.181817127,0.182161378,0.195669685,0.098072834
0.224302161,0.223881604,0.230234525,0.104185509
0.250727824,0.252833421,0.255343584,0.105318013
0.275300873,0.274532481,0.270369247,0.135999226
0.280866714,0.275651774,0.272723331,0.156645299
0.290345609,0.293577027,0.29322979,0.17629562
0.32389898,0.319903007,0.32741174,0.206372193
0.421951339,0.429185761,0.40196462,0.441266161
0.657618987,0.636367811,0.601087966,0.447693192
